利用日,利用店名,利用金額,支払方法
2026/03/02,NETFLIX.COM,1490,1回払い
2026/03/05,SPOTIFY JAPAN,980,1回払い
2026/03/08,ファミリーマート渋谷店,640,1回払い
2026/03/12,APPLE.COM/BILL,3200,1回払い
2026/03/15,AMAZON.CO.JP,4280,1回払い
2026/03/18,NTT DOCOMO,6800,1回払い
2026/03/22,スターバックス新宿店,580,1回払い
2026/03/27,東京電力エナジーパートナー,8240,1回払い
2026/04/02,NETFLIX.COM,1490,1回払い
2026/04/05,SPOTIFY JAPAN,980,1回払い
2026/04/10,ヨドバシカメラ,12800,1回払い
2026/04/12,APPLE.COM/BILL,3200,1回払い
2026/04/18,NTT DOCOMO,6800,1回払い
2026/04/20,AMAZON PRIME,600,1回払い
2026/04/25,いなげや本店,3120,1回払い
2026/04/27,東京電力エナジーパートナー,7680,1回払い
2026/05/02,NETFLIX.COM,1490,1回払い
2026/05/05,SPOTIFY JAPAN,980,1回払い
2026/05/09,マクドナルド,890,1回払い
2026/05/12,APPLE.COM/BILL,3200,1回払い
2026/05/18,NTT DOCOMO,6800,1回払い
2026/05/24,ユニクロ新宿,5990,1回払い
2026/05/27,東京電力エナジーパートナー,9120,1回払い
